VAR_ROT0.00_SH_Z0.017_Y0.279/Z0.017Y0.279O_IN0.00OUTA1.77_F7_M.50.PMS 
     0.50000000     0.70400000     0.27900000     0.01700000 
                   1                   2                   3                   4                   5                   6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34                  35                  36                  37                  38                  39                  40                  41                  42                  43                  44                  45                  46                  47                  48                  49                  50                  51                  52                  53                  54                  55                  56                  57                  58                  59                  60                  61                  62                  63                  64                  65                  66                  67                  68                  69                  70 
BEGIN TRACK 
                MODE                MASS                 AGE               Dtime               LOG_L              LOG_TE                CONV               QSCHW               QDISC               QINTE                QHEL              QCAROX              LOG_Tc             LOG_RHc              LOG_Pc               QTMAX                XCEN               XHE3C                YCEN                  DM                RATE                   M                 MO1              XC_cen              XO_cen              XN_cen              Rhtmax                Xsup                Ysup               XCsup               XOsup               XNsup             XC13sup                LNUC                  LX                 QH1                 QH2                  LY                QHE1                QHE2                  LC                 QC1                 QC2              LNEUTR             L_EX_LT             lgL_SCT              lgL_AC            lgL_AC_T              L_GRAV               Rstar                 r_x              tau_xy             tau_thy                f_th                 n_c            aL_x_tot                  MU                MU_E                 CI1                 CF1                 CI2                 CF2                 CI3                 CF3                 CI4                 CF4                 CI5                 CF5                MFIT             CPU_SEC
                   1    5.0000000000e-01    1.0000000000e-01    2.2884000000e+05   -1.5583100000e+00    3.5771700000e+00    0.0000000000e+00    7.4997200000e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9876700000e+00    2.0402400000e+00    1.7185450000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    5.5900000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0400000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.6381000000e+00    2.6381000000e+00    0.0000000000e+00    9.7543000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -1.6382000000e+00    2.7076400000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9658920040e-01    8.1483815530e-01    7.4997200000e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9658920040e-01    1.0590000000e+01
                   2    5.0000000000e-01    1.0000000000e-01    3.4521000000e+04   -1.5578100000e+00    3.5771700000e+00    0.0000000000e+00    4.9998800000e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9877900000e+00    2.0402600000e+00    1.7185580000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    5.6400000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0400000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.6389000000e+00    2.6389000000e+00    0.0000000000e+00    9.7543000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -1.6375100000e+00    2.7092900000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9693028030e-01   -8.1483815530e-01    4.9998800000e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9693028030e-01    1.3040000000e+01
                   3    5.0000000000e-01    1.0000000000e-01    3.8596000000e+04   -1.5576200000e+00    3.5771600000e+00    0.0000000000e+00    7.4997200000e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9878700000e+00    2.0401100000e+00    1.7185510000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    5.6900000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0400000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.6391000000e+00    2.6391000000e+00    0.0000000000e+00    9.7543000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0005000000e-01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.2342000000e+00    2.7099500000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9723725230e-01   -8.1232264740e-01    7.4997200000e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9723725230e-01    1.5780000000e+01
                   4    5.0000000000e-01    1.0000000000e-01    4.3151000000e+04   -1.5573800000e+00    3.5771600000e+00    0.0000000000e+00    1.4606870000e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9879200000e+00    2.0398700000e+00    1.7185310000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    5.7300000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0400000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.6373000000e+00    2.6373000000e+00    0.0000000000e+00    9.7543000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.0007000000e-01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.4281800000e+00    2.7107700000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9751352710e-01   -8.0977296520e-01    1.4606870000e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9751352710e-01    1.8610000000e+01
                   5    5.0000000000e-01    1.0000000000e-01    4.8245000000e+04   -1.5570800000e+00    3.5771500000e+00    0.0000000000e+00    2.8427720000e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9879300000e+00    2.0395100000e+00    1.7184950000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    5.7300000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0400000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.6333000000e+00    2.6333000000e+00    0.0000000000e+00    9.7543000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0000900000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.6148300000e+00    2.7117900000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9776217440e-01   -8.0718864440e-01    2.8427720000e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9776217440e-01    2.1220000000e+01
                   6    5.0000000000e-01    1.0000000000e-01    5.3939000000e+04   -1.5567100000e+00    3.5771400000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9879100000e+00    2.0390300000e+00    1.7184440000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    5.7900000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0390000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.6268000000e+00    2.6268000000e+00    0.0000000000e+00    9.7543000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2001100000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.8253500000e+00    2.7130200000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9798595690e-01   -8.0718864440e-01    6.5273980000e-04    2.4999700000e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9798595690e-01    2.4430000000e+01
                   7    5.0000000000e-01    1.0000000000e-01    6.0306000000e+04   -1.5562700000e+00    3.5771400000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9878600000e+00    2.0384600000e+00    1.7183800000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    5.8400000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0380000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.6185000000e+00    2.6185000000e+00    0.0000000000e+00    9.7543000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2001100000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.8161800000e+00    2.7144300000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9818736120e-01   -8.0456921440e-01    1.2051791000e-03    9.3750000000e-06    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9818736120e-01    2.7670000000e+01
                   8    5.0000000000e-01    1.0000000000e-01    6.7424000000e+04   -1.5557700000e+00    3.5771300000e+00    0.0000000000e+00    1.5733022000e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9877700000e+00    2.0378000000e+00    1.7183040000e+01    0.0000000000e+00    7.6990000000e-01    2.4610000000e-05    2.3000000000e-01    0.0000000000e+00    0.0000000000e+00    5.8500000000e+02    1.0000000000e+00    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0380000000e+00    7.6990000000e-01    2.3000000000e-01    1.7130000000e-05    4.8130000000e-05    5.2980000000e-06    2.0650000000e-07    2.6083000000e+00    2.6083000000e+00    0.0000000000e+00    9.7543000000e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2001100000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -2.8058500000e+00    2.7160400000e+10    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.8823000000e-01    0.0000000000e+00    9.9836862510e-01   -8.0456921440e-01    1.5733022000e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9836862510e-01    3.0840000000e+01
